NoteID,Deck,NoteType,SentenceCloze,Answer,FullSentenceIT,TranslationEN,Extra,SourceFile,Level,Difficulty,Tags,UpdatedAt
,,,Sono le chiavi ____ macchina.,della,Sono le chiavi della macchina.,They are the car keys.,"DI + article for possession.",,A1,,,
,,,Il colore ____ casa è bianco.,della,Il colore della casa è bianco.,The color of the house is white.,"DI + article for possession/specification.",,A1,,,
,,,La foto ____ Marco è sul tavolo.,di,La foto di Marco è sul tavolo.,Marco's photo is on the table.,"DI for possession/association without article before proper name.",,A1,,,
,,,La ragazza ____ Roma parla bene italiano.,di,La ragazza di Roma parla bene italiano.,The girl from Rome speaks Italian well.,"DI for origin (from).",,A2,,,
,,,L'indirizzo ____ genitori di Paola è qui.,dei,L'indirizzo dei genitori di Paola è qui.,Paola's parents' address is here.,"DI + article for specification; plural masculine.",,A2,,,
,,,Il nome ____ professore è difficile.,del,Il nome del professore è difficile.,The teacher's name is difficult.,"DI + article (del).",,A2,,,
,,,La fine ____ film è triste.,del,La fine del film è triste.,The end of the movie is sad.,"DI + article for specification.",,A2,,,
,,,Parliamo ____ politica stasera.,di,Parliamo di politica stasera.,Let's talk about politics tonight.,"DI used with many verbs for topic (parlare di).",,B1,,,
,,,Ho bisogno ____ aiuto.,di,Ho bisogno di aiuto.,I need help.,"Fixed pattern: bisogno di.",,B1,,,
,,,Vado ____ Roma domani.,a,Vado a Roma domani.,I'm going to Rome tomorrow.,"A for cities (motion).",,A1,,,
,,,Sono ____ Roma oggi.,a,Sono a Roma oggi.,I'm in Rome today.,"A for cities (location).",,A1,,,
,,,Andiamo ____ mercato sabato.,al,Andiamo al mercato sabato.,We go to the market on Saturday.,"A + article (al) for destination.",,A1,,,
,,,Arrivo ____ stazione alle otto.,alla,Arrivo alla stazione alle otto.,I arrive at the station at eight.,"A + article (alla).",,A1,,,
,,,Vado ____ cinema con gli amici.,al,Vado al cinema con gli amici.,I go to the cinema with friends.,"Common destination with articulated a.",,A1,,,
,,,Torno ____ casa subito.,a,Torno a casa subito.,I'm going home right away.,"Fixed place: a casa (motion).",,A1,,,
,,,Sono ____ (at home) casa adesso.,a,Sono a casa adesso.,I'm at home now.,"Fixed place: a casa (location).",,A1,,,
,,,Vado ____ scuola ogni giorno.,a,Vado a scuola ogni giorno.,I go to school every day.,"Fixed place: a scuola.",,A1,,,
,,,Sono ____ scuola fino alle due.,a,Sono a scuola fino alle due.,I'm at school until two.,"Fixed place: a scuola.",,A1,,,
,,,Scrivo ____ Maria stasera.,a,Scrivo a Maria stasera.,I write to Maria tonight.,"A for indirect object.",,A1,,,
,,,Telefono ____ miei genitori.,ai,Telefono ai miei genitori.,I call my parents.,"A + article for plural indirect object.",,A2,,,
,,,Do il libro ____ Giulia.,a,Do il libro a Giulia.,I give the book to Giulia.,"A for indirect object.",,A1,,,
,,,Spiego la regola ____ studenti.,agli,Spiego la regola agli studenti.,I explain the rule to the students.,"A + article (agli).",,A2,,,
,,,Ci vediamo ____ Natale.,a,Ci vediamo a Natale.,See you at Christmas.,"A for specific point in time.",,A2,,,
,,,Parto ____ mezzanotte.,a,Parto a mezzanotte.,I leave at midnight.,"A for specific point in time.",,A2,,,
,,,____ (At the age of) 20 anni vivevo a Roma.,a,A 20 anni vivevo a Roma.,At 20 I lived in Rome.,"Age expression uses 'a + number'.",,A2,,,
,,,Vado in vacanza ____ giugno.,a,Vado in vacanza a giugno.,I go on vacation in June.,"Months often with 'a'.",,A2,,,
,,,Il supermercato è ____ 500 metri da qui.,a,Il supermercato è a 500 metri da qui.,The supermarket is 500 meters from here.,"A for distance.",,B1,,,
,,,Viviamo ____ 3 km da qui.,a,Viviamo a 3 km da qui.,We live 3 km from here.,"A for distance.",,B1,,,
,,,Vado ____ piedi oggi.,a,Vado a piedi oggi.,I go on foot today.,"Transport exception: a piedi.",,A2,,,
,,,Scrivo ____ mano.,a,Scrivo a mano.,I write by hand.,"Fixed manner expression.",,B1,,,
,,,Ha risposto ____ voce alta.,a,Ha risposto a voce alta.,He answered loudly.,"Fixed manner expression.",,B1,,,
,,,Ha scelto ____ caso.,a,Ha scelto a caso.,He chose at random.,"Fixed manner expression.",,B1,,,
,,,Vivo ____ Italia.,in,Vivo in Italia.,I live in Italy.,"IN for countries.",,A1,,,
,,,Andiamo ____ Francia domani.,in,Andiamo in Francia domani.,We go to France tomorrow.,"IN for countries.",,A1,,,
,,,Sono ____ Toscana per lavoro.,in,Sono in Toscana per lavoro.,I'm in Tuscany for work.,"IN for regions.",,A2,,,
,,,Studio ____ Germania.,in,Studio in Germania.,I study in Germany.,"IN for countries.",,A1,,,
,,,Vado ____ Sicilia quest'estate.,in,Vado in Sicilia quest'estate.,I go to Sicily this summer.,"IN for regions/ large islands (common).",,A2,,,
,,,Vado ____ Capir quest'estate.,a,Vado a Capri quest'estate.,I go to Capri this summer.,"A for small islands (common).",,A2,,,
,,,"Sono ____ (at the, institutional) banca adesso.",in,Sono in banca adesso.,I'm at the bank now.,"IN for institutional places (inside, doing banking). Alla would be used more if you are referring to the place.",,A1,,,
,,,Lavoro ____ ufficio oggi.,in,Lavoro in ufficio oggi.,I work at the office today.,"IN for institutional places.",,A1,,,
,,,Resto ____ casa perché sono malato.,a,Resto a casa perché sono malato.,I'm staying home because I'm sick.,"a casa = staying home (not going out).",,A2,,,
,,,"Resto ____ casa, non in giardino.",in,"Resto in casa, non in giardino.","I'm staying inside the house, not in the garden.","in casa = physically inside.",,A2,,,
,,,I biglietti sono ____ borsa.,nella,I biglietti sono nella borsa.,The tickets are in the bag.,"IN + article for specific container.",,A1,,,
,,,Il telefono è ____ tasca.,in,Il telefono è in tasca.,The phone is in the pocket.,"Normally not a specific pocket otherwise nel/nella.",,A2,,,
,,,Il latte è ____ frigo.,in,Il latte è in frigo.,The milk is in the fridge.,"Idiomatic: in frigo (article dropped).",,A2,,,
,,,Il latte è ____ frigorifero.,nel,Il latte è nel frigorifero.,The milk is in the refrigerator.,"Full form: nel frigorifero.",,A2,,,
,,,Metto la carne ____ freezer.,nel,Metto la carne nel freezer.,I put the meat in the freezer.,"Specific object: nel + noun.",,B1,,,
,,,Vado ____ macchina.,in,Vado in macchina.,I go by car.,"IN for most vehicles.",,A1,,,
,,,Vado ____ treno.,in,Vado in treno.,I go by train.,"IN for vehicles.",,A1,,,
,,,Vado ____ autobus.,in,Vado in autobus.,I go by bus.,"IN for vehicles.",,A1,,,
,,,Andiamo ____ estate al mare.,d',Andiamo d'estate al mare.,We go to the sea in summer.,"More idiomatic: d'estate.",,A2,,,
,,,____ 2024 ho viaggiato molto.,Nel,Nel 2024 ho viaggiato molto.,I traveled a lot in 2024.,"IN + article for years: nel 2024.",,A2,,,
,,,____ mia vita ho imparato tanto.,Nella,Nella mia vita ho imparato tanto.,In my life I have learned a lot.,"IN + article with specific phrase.",,B1,,,
,,,"Vivo ____ città da anni (as opposed to the countryside).",in,Vivo in città da anni.,I've lived in the city for years.,"Abstract location concept: in città.",,B1,,,
,,,"Vivo ____ città di Roma, non in provincia.",nella,"Vivo nella città di Roma, non in provincia.","I live in the city of Rome, not in a provincial town.","Marked form; needs contrast to sound natural.",,B2,,,
,,,Vivo ____ Roma.,a,Vivo a Roma.,I live in Rome.,"A for cities (location).",,B2,,,
,,,Vengo ____ Roma adesso.,da,Vengo da Roma adesso.,I'm coming from Rome now.,"DA for origin (from).",,A1,,,
,,,Sono ____ Maria stasera.,da,Sono da Maria stasera.,I'm at Maria's place tonight.,"DA for being at someone's place.",,A2,,,
,,,Vado ____ Maria dopo il lavoro.,da,Vado da Maria dopo il lavoro.,I go to Maria's place after work.,"DA for destination when it's a person's place.",,A2,,,
,,,Vengo ____ mercato.,dal,Vengo dal mercato.,I'm coming from the market.,"DA + article for coming from a place.",,A2,,,
,,,Vado ____ mercato.,al,Vado al mercato.,I go to the market.,"Destination uses a/al, not da.",,A2,,,
,,,Vado ____ medico domani.,dal,Vado dal medico domani.,I go to the doctor tomorrow.,"DA + article for professional.",,A2,,,
,,,Vado ____ panettiere.,dal,Vado dal panettiere.,I go to the baker.,"DA + article for professional/shopkeeper.",,B1,,,
